127.0.0.1 - - [17/Feb/2025:13:15:45 +0900] "GET / HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [17/Feb/2025:13:15:49 +0900] "GET /Portal_Mock/ HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [17/Feb/2025:13:16:39 +0900] "GET /mtp/Portal_Mock/ HTTP/1.1" 404 920
0:0:0:0:0:0:0:1 - - [17/Feb/2025:13:18:47 +0900] "GET /Portal_Mock/Portal_Mock/ HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [17/Feb/2025:13:18:56 +0900] "GET /Portal_Mock/Portal_Mock/ HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [17/Feb/2025:13:18:56 +0900] "GET /favicon.ico HTTP/1.1" 404 907
0:0:0:0:0:0:0:1 - - [17/Feb/2025:13:19:04 +0900] "GET /Portal_Mock/scripts/gem/i18n/gem-locale-migration-en.js?cv=042ADDDF2741A7AB11E2B496787F01E1E5BB04C90109FCDF0B254E97D081C2DF HTTP/1.1" 200 4134
0:0:0:0:0:0:0:1 - - [17/Feb/2025:13:19:04 +0900] "GET /Portal_Mock/scripts/gem/i18n/gem-locale-migration-ja.js?cv=042ADDDF2741A7AB11E2B496787F01E1E5BB04C90109FCDF0B254E97D081C2DF HTTP/1.1" 200 4550
0:0:0:0:0:0:0:1 - - [17/Feb/2025:13:19:04 +0900] "GET /Portal_Mock/scripts/gem/i18n/gem-locale.js?cv=042ADDDF2741A7AB11E2B496787F01E1E5BB04C90109FCDF0B254E97D081C2DF HTTP/1.1" 200 1044
0:0:0:0:0:0:0:1 - - [17/Feb/2025:13:19:04 +0900] "GET /Portal_Mock/scripts/gem/i18n/gem-locale-ja.js?cv=042ADDDF2741A7AB11E2B496787F01E1E5BB04C90109FCDF0B254E97D081C2DF HTTP/1.1" 200 6490
0:0:0:0:0:0:0:1 - - [17/Feb/2025:13:19:04 +0900] "GET /Portal_Mock/scripts/gem/i18n/gem-locale-en.js?cv=042ADDDF2741A7AB11E2B496787F01E1E5BB04C90109FCDF0B254E97D081C2DF HTTP/1.1" 200 6008
0:0:0:0:0:0:0:1 - - [17/Feb/2025:13:19:04 +0900] "GET /Portal_Mock/webjars/jQuery-Timepicker-Addon/1.6.3/jquery-ui-timepicker-addon.css?cv=042ADDDF2741A7AB11E2B496787F01E1E5BB04C90109FCDF0B254E97D081C2DF HTTP/1.1" 200 1945
0:0:0:0:0:0:0:1 - - [17/Feb/2025:13:19:05 +0900] "GET /Portal_Mock/styles/gem/skin/flat/structure.css?cv=042ADDDF2741A7AB11E2B496787F01E1E5BB04C90109FCDF0B254E97D081C2DF HTTP/1.1" 200 20758
0:0:0:0:0:0:0:1 - - [17/Feb/2025:13:19:05 +0900] "GET /Portal_Mock/webjars/jquery-ui/1.13.3/dist/themes/base/jquery-ui.min.css?cv=042ADDDF2741A7AB11E2B496787F01E1E5BB04C90109FCDF0B254E97D081C2DF HTTP/1.1" 200 30782
0:0:0:0:0:0:0:1 - - [17/Feb/2025:13:19:05 +0900] "GET /Portal_Mock/styles/gem/skin/flat/module.css?cv=042ADDDF2741A7AB11E2B496787F01E1E5BB04C90109FCDF0B254E97D081C2DF HTTP/1.1" 200 61040
0:0:0:0:0:0:0:1 - - [17/Feb/2025:13:19:05 +0900] "GET /Portal_Mock/styles/gem/skin/flat/base.css?cv=042ADDDF2741A7AB11E2B496787F01E1E5BB04C90109FCDF0B254E97D081C2DF HTTP/1.1" 200 2420
0:0:0:0:0:0:0:1 - - [17/Feb/2025:13:19:05 +0900] "GET /Portal_Mock/styles/gem/skin/flat/clear.css?cv=042ADDDF2741A7AB11E2B496787F01E1E5BB04C90109FCDF0B254E97D081C2DF HTTP/1.1" 200 1276
0:0:0:0:0:0:0:1 - - [17/Feb/2025:13:19:05 +0900] "GET /Portal_Mock/styles/gem/skin/flat/imagecolor/blue.css?cv=042ADDDF2741A7AB11E2B496787F01E1E5BB04C90109FCDF0B254E97D081C2DF HTTP/1.1" 200 880
0:0:0:0:0:0:0:1 - - [17/Feb/2025:13:19:05 +0900] "GET /Portal_Mock/styles/gem/skin/flat/imagecolor/red.css?cv=042ADDDF2741A7AB11E2B496787F01E1E5BB04C90109FCDF0B254E97D081C2DF HTTP/1.1" 200 879
0:0:0:0:0:0:0:1 - - [17/Feb/2025:13:19:05 +0900] "GET /Portal_Mock/styles/gem/skin/flat/imagecolor/green.css?cv=042ADDDF2741A7AB11E2B496787F01E1E5BB04C90109FCDF0B254E97D081C2DF HTTP/1.1" 200 881
0:0:0:0:0:0:0:1 - - [17/Feb/2025:13:19:05 +0900] "GET /Portal_Mock/styles/gem/skin/flat/theme/black/color.css?cv=042ADDDF2741A7AB11E2B496787F01E1E5BB04C90109FCDF0B254E97D081C2DF HTTP/1.1" 200 877
0:0:0:0:0:0:0:1 - - [17/Feb/2025:13:19:05 +0900] "GET /Portal_Mock/styles/gem/skin/flat/imagecolor/yellow.css?cv=042ADDDF2741A7AB11E2B496787F01E1E5BB04C90109FCDF0B254E97D081C2DF HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [17/Feb/2025:13:19:05 +0900] "GET /Portal_Mock/webjars/jquery/3.7.1/jquery.min.js?cv=042ADDDF2741A7AB11E2B496787F01E1E5BB04C90109FCDF0B254E97D081C2DF HTTP/1.1" 200 87533
0:0:0:0:0:0:0:1 - - [17/Feb/2025:13:19:05 +0900] "GET /Portal_Mock/scripts/gem/functions.js?cv=042ADDDF2741A7AB11E2B496787F01E1E5BB04C90109FCDF0B254E97D081C2DF HTTP/1.1" 200 143590
0:0:0:0:0:0:0:1 - - [17/Feb/2025:13:19:05 +0900] "GET /Portal_Mock/scripts/gem/webapi.js?cv=042ADDDF2741A7AB11E2B496787F01E1E5BB04C90109FCDF0B254E97D081C2DF HTTP/1.1" 200 31718
